timestamp,temperature_2m_C,relative_humidity_2m_pct,timestamp_fixed
2026-02-27 22:00,9.4,85,2/27/2026 22:00:00
2026-02-27 23:00,8.9,85,2/27/2026 23:00:00
2026-02-28 0:00,9.2,89,2/28/2026 0:00:00
2026-02-28 1:00,8.6,91,2/28/2026 1:00:00
2026-02-28 2:00,7.8,92,2/28/2026 2:00:00
2026-02-28 3:00,7.9,94,2/28/2026 3:00:00
2026-02-28 4:00,8.1,93,2/28/2026 4:00:00
2026-02-28 5:00,7.6,96,2/28/2026 5:00:00
2026-02-28 6:00,7.9,96,2/28/2026 6:00:00
2026-02-28 7:00,7.6,95,2/28/2026 7:00:00
2026-02-28 8:00,7.2,88,2/28/2026 8:00:00
2026-02-28 9:00,7.1,86,2/28/2026 9:00:00
2026-02-28 10:00,7.7,83,2/28/2026 10:00:00
2026-02-28 11:00,8.9,74,2/28/2026 11:00:00
2026-02-28 12:00,9.2,72,2/28/2026 12:00:00
2026-02-28 13:00,9.6,71,2/28/2026 13:00:00
2026-02-28 14:00,10.1,67,2/28/2026 14:00:00
2026-02-28 15:00,9.7,66,2/28/2026 15:00:00
2026-02-28 16:00,9.8,58,2/28/2026 16:00:00
2026-02-28 17:00,9.4,58,2/28/2026 17:00:00
2026-02-28 18:00,8.2,59,2/28/2026 18:00:00
2026-02-28 19:00,7.6,61,2/28/2026 19:00:00
2026-02-28 20:00,6.7,68,2/28/2026 20:00:00
2026-02-28 21:00,6.2,76,2/28/2026 21:00:00
2026-02-28 22:00,6,81,2/28/2026 22:00:00
2026-02-28 23:00,6.3,83,2/28/2026 23:00:00
2026-03-01 0:00,7.2,82,3/1/2026 0:00:00
2026-03-01 1:00,6.9,83,3/1/2026 1:00:00
2026-03-01 2:00,6.9,85,3/1/2026 2:00:00
2026-03-01 3:00,7.2,86,3/1/2026 3:00:00
2026-03-01 4:00,7.4,87,3/1/2026 4:00:00
2026-03-01 5:00,7.9,85,3/1/2026 5:00:00
2026-03-01 6:00,8.2,88,3/1/2026 6:00:00
2026-03-01 7:00,8.4,88,3/1/2026 7:00:00
2026-03-01 8:00,8.8,88,3/1/2026 8:00:00
2026-03-01 9:00,9.4,88,3/1/2026 9:00:00
2026-03-01 10:00,10.6,83,3/1/2026 10:00:00
2026-03-01 11:00,9.9,87,3/1/2026 11:00:00
2026-03-01 12:00,10.4,91,3/1/2026 12:00:00
2026-03-01 13:00,11.9,86,3/1/2026 13:00:00
2026-03-01 14:00,11.5,86,3/1/2026 14:00:00
2026-03-01 15:00,12.5,78,3/1/2026 15:00:00
2026-03-01 16:00,12.1,82,3/1/2026 16:00:00
2026-03-01 17:00,11.4,83,3/1/2026 17:00:00
2026-03-01 18:00,10.8,88,3/1/2026 18:00:00
2026-03-01 19:00,10.8,88,3/1/2026 19:00:00
2026-03-01 20:00,10.9,85,3/1/2026 20:00:00
2026-03-01 21:00,10.8,83,3/1/2026 21:00:00
2026-03-01 22:00,10.7,81,3/1/2026 22:00:00
2026-03-01 23:00,10.5,79,3/1/2026 23:00:00
2026-03-02 0:00,10.1,81,3/2/2026 0:00:00
2026-03-02 1:00,9.8,82,3/2/2026 1:00:00
2026-03-02 2:00,9.6,81,3/2/2026 2:00:00
2026-03-02 3:00,9.4,80,3/2/2026 3:00:00
2026-03-02 4:00,9,81,3/2/2026 4:00:00
2026-03-02 5:00,8.9,80,3/2/2026 5:00:00
2026-03-02 6:00,8.9,80,3/2/2026 6:00:00
2026-03-02 7:00,8.8,81,3/2/2026 7:00:00
2026-03-02 8:00,9.3,80,3/2/2026 8:00:00
2026-03-02 9:00,10.3,78,3/2/2026 9:00:00
2026-03-02 10:00,11.6,74,3/2/2026 10:00:00
2026-03-02 11:00,12.7,70,3/2/2026 11:00:00
2026-03-02 12:00,14.1,66,3/2/2026 12:00:00
2026-03-02 13:00,14.6,64,3/2/2026 13:00:00
2026-03-02 14:00,14.6,63,3/2/2026 14:00:00
2026-03-02 15:00,14.4,64,3/2/2026 15:00:00
2026-03-02 16:00,13.9,66,3/2/2026 16:00:00
2026-03-02 17:00,12.9,70,3/2/2026 17:00:00
2026-03-02 18:00,11.9,71,3/2/2026 18:00:00
2026-03-02 19:00,11.2,73,3/2/2026 19:00:00
2026-03-02 20:00,10.9,75,3/2/2026 20:00:00
2026-03-02 21:00,10.5,77,3/2/2026 21:00:00
2026-03-02 22:00,9.8,81,3/2/2026 22:00:00
2026-03-02 23:00,9.1,84,3/2/2026 23:00:00
2026-03-03 0:00,7.7,89,3/3/2026 0:00:00
2026-03-03 1:00,7.4,91,3/3/2026 1:00:00
2026-03-03 2:00,6.9,93,3/3/2026 2:00:00
2026-03-03 3:00,6.5,95,3/3/2026 3:00:00
2026-03-03 4:00,6.3,95,3/3/2026 4:00:00
2026-03-03 5:00,6.1,96,3/3/2026 5:00:00
2026-03-03 6:00,5.9,95,3/3/2026 6:00:00
2026-03-03 7:00,6.4,95,3/3/2026 7:00:00
2026-03-03 8:00,6.9,95,3/3/2026 8:00:00
2026-03-03 9:00,8.2,92,3/3/2026 9:00:00
2026-03-03 10:00,9.8,86,3/3/2026 10:00:00
2026-03-03 11:00,11.3,82,3/3/2026 11:00:00
2026-03-03 12:00,12.7,77,3/3/2026 12:00:00
2026-03-03 13:00,13.6,72,3/3/2026 13:00:00
2026-03-03 14:00,14.1,69,3/3/2026 14:00:00
2026-03-03 15:00,14.1,69,3/3/2026 15:00:00
2026-03-03 16:00,13.7,71,3/3/2026 16:00:00
2026-03-03 17:00,12.6,75,3/3/2026 17:00:00
2026-03-03 18:00,10.6,76,3/3/2026 18:00:00
2026-03-03 19:00,9.3,78,3/3/2026 19:00:00
2026-03-03 20:00,8.5,80,3/3/2026 20:00:00
2026-03-03 21:00,7.9,82,3/3/2026 21:00:00
2026-03-03 22:00,7.3,85,3/3/2026 22:00:00
2026-03-03 23:00,6.8,87,3/3/2026 23:00:00
2026-03-04 0:00,6.3,89,3/4/2026 0:00:00
2026-03-04 1:00,6.2,91,3/4/2026 1:00:00
2026-03-04 2:00,5.8,93,3/4/2026 2:00:00
2026-03-04 3:00,5.6,94,3/4/2026 3:00:00
2026-03-04 4:00,5.4,95,3/4/2026 4:00:00
2026-03-04 5:00,5.2,96,3/4/2026 5:00:00
2026-03-04 6:00,5.2,100,3/4/2026 6:00:00
2026-03-04 7:00,5.3,99,3/4/2026 7:00:00
2026-03-04 8:00,5.7,100,3/4/2026 8:00:00
2026-03-04 9:00,6.2,99,3/4/2026 9:00:00
2026-03-04 10:00,7.4,95,3/4/2026 10:00:00
2026-03-04 11:00,9.4,89,3/4/2026 11:00:00
2026-03-04 12:00,10.4,83,3/4/2026 12:00:00
2026-03-04 13:00,11.7,80,3/4/2026 13:00:00
2026-03-04 14:00,12.8,77,3/4/2026 14:00:00
2026-03-04 15:00,13.3,77,3/4/2026 15:00:00
2026-03-04 16:00,13.2,78,3/4/2026 16:00:00
2026-03-04 17:00,12.4,82,3/4/2026 17:00:00
2026-03-04 18:00,10.4,85,3/4/2026 18:00:00
2026-03-04 19:00,9.2,87,3/4/2026 19:00:00
2026-03-04 20:00,8.9,87,3/4/2026 20:00:00
2026-03-04 21:00,8.9,85,3/4/2026 21:00:00
2026-03-04 22:00,9.2,82,3/4/2026 22:00:00
2026-03-04 23:00,9.6,79,3/4/2026 23:00:00
2026-03-05 0:00,9.6,74,3/5/2026 0:00:00
2026-03-05 1:00,9.1,75,3/5/2026 1:00:00
2026-03-05 2:00,8.7,77,3/5/2026 2:00:00
2026-03-05 3:00,8.4,79,3/5/2026 3:00:00
2026-03-05 4:00,8.1,80,3/5/2026 4:00:00
2026-03-05 5:00,7.8,81,3/5/2026 5:00:00
2026-03-05 6:00,7.1,82,3/5/2026 6:00:00
2026-03-05 7:00,6.9,83,3/5/2026 7:00:00
2026-03-05 8:00,7.7,82,3/5/2026 8:00:00
2026-03-05 9:00,9.5,79,3/5/2026 9:00:00
2026-03-05 10:00,11.5,75,3/5/2026 10:00:00
2026-03-05 11:00,13.3,71,3/5/2026 11:00:00
2026-03-05 12:00,15.5,66,3/5/2026 12:00:00
2026-03-05 13:00,16.5,63,3/5/2026 13:00:00
2026-03-05 14:00,17,61,3/5/2026 14:00:00
2026-03-05 15:00,16.9,60,3/5/2026 15:00:00
2026-03-05 16:00,16.2,62,3/5/2026 16:00:00
2026-03-05 17:00,15,68,3/5/2026 17:00:00
2026-03-05 18:00,13.8,72,3/5/2026 18:00:00
2026-03-05 19:00,12.8,76,3/5/2026 19:00:00
2026-03-05 20:00,12.3,77,3/5/2026 20:00:00
2026-03-05 21:00,12.1,77,3/5/2026 21:00:00
2026-03-05 22:00,10.9,82,3/5/2026 22:00:00
2026-03-05 23:00,10.8,82,3/5/2026 23:00:00
2026-03-06 0:00,10.2,85,3/6/2026 0:00:00
2026-03-06 1:00,10.1,87,3/6/2026 1:00:00
2026-03-06 2:00,10.1,87,3/6/2026 2:00:00
2026-03-06 3:00,9.7,89,3/6/2026 3:00:00
2026-03-06 4:00,9.6,90,3/6/2026 4:00:00
2026-03-06 5:00,9.6,90,3/6/2026 5:00:00
2026-03-06 6:00,9.2,92,3/6/2026 6:00:00
2026-03-06 7:00,8.6,93,3/6/2026 7:00:00
2026-03-06 8:00,8.7,93,3/6/2026 8:00:00
2026-03-06 9:00,9.1,90,3/6/2026 9:00:00
2026-03-06 10:00,9.9,87,3/6/2026 10:00:00
2026-03-06 11:00,11,84,3/6/2026 11:00:00
2026-03-06 12:00,10.2,82,3/6/2026 12:00:00
2026-03-06 13:00,10.2,83,3/6/2026 13:00:00
2026-03-06 14:00,10.3,82,3/6/2026 14:00:00
2026-03-06 15:00,9.1,92,3/6/2026 15:00:00
2026-03-06 16:00,8.4,92,3/6/2026 16:00:00
2026-03-06 17:00,8.2,94,3/6/2026 17:00:00
2026-03-06 18:00,8.1,94,3/6/2026 18:00:00
2026-03-06 19:00,7.9,95,3/6/2026 19:00:00
2026-03-06 20:00,7.7,94,3/6/2026 20:00:00
2026-03-06 21:00,7.5,94,3/6/2026 21:00:00
2026-03-06 22:00,7.4,94,3/6/2026 22:00:00
2026-03-06 23:00,7.6,93,3/6/2026 23:00:00
2026-03-07 0:00,7.5,93,3/7/2026 0:00:00
2026-03-07 1:00,7.3,92,3/7/2026 1:00:00
2026-03-07 2:00,7.2,93,3/7/2026 2:00:00
2026-03-07 3:00,7.1,93,3/7/2026 3:00:00
2026-03-07 4:00,7.1,94,3/7/2026 4:00:00
2026-03-07 5:00,7.1,94,3/7/2026 5:00:00
2026-03-07 6:00,6.9,94,3/7/2026 6:00:00
2026-03-07 7:00,7,94,3/7/2026 7:00:00
2026-03-07 8:00,7.2,93,3/7/2026 8:00:00
2026-03-07 9:00,7.7,91,3/7/2026 9:00:00
2026-03-07 10:00,8.4,89,3/7/2026 10:00:00
2026-03-07 11:00,9.1,87,3/7/2026 11:00:00
2026-03-07 12:00,8.6,87,3/7/2026 12:00:00
2026-03-07 13:00,9.1,85,3/7/2026 13:00:00
2026-03-07 14:00,9.4,84,3/7/2026 14:00:00
2026-03-07 15:00,9.8,84,3/7/2026 15:00:00
2026-03-07 16:00,9.9,84,3/7/2026 16:00:00
2026-03-07 17:00,9.6,85,3/7/2026 17:00:00
